"70BCSV 	",Prueba subir archivo 
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 ,
25,
CTRWL,1550
SPAN,200
START WL,1450
STOP WL,1650
WLFREQ,0
REFL,-59.9
LSCL,4
RESLN,0.2
AVG,1
SMPLAUTO,1
SMPL,5001
SMPLINTVL,0.04
HIGH2,
MEAS,
LSUNT,0
NMSKH,OFF
RESCOR,0
SMOOTH,0
FIBERTYPE,0
MEASWL,1
SWPSPD,0
RESPARM,9674
FREQPARM,9674
,
,
1496.32,-63.567
1496.36,-63.557
1496.4,-63.542
1496.44,-63.55
1496.48,-63.545
1496.52,-63.539
1496.56,-63.517
1496.6,-63.502
1496.64,-63.478
1496.68,-63.458
1496.72,-63.446
1496.76,-63.431
1496.8,-63.423
1496.84,-63.408
1496.88,-63.395
1496.92,-63.391
1496.96,-63.37
1497,-63.358
1497.04,-63.351
1497.08,-63.335
1497.12,-63.324
1497.16,-63.318
1497.2,-63.304
1497.24,-63.294
1497.28,-63.28
1497.32,-63.268
1497.36,-63.261
1497.4,-63.25
1497.44,-63.233
1497.48,-63.224
1497.52,-63.219
1497.56,-63.208
1497.6,-63.196
1497.64,-63.187
1497.68,-63.176
1497.72,-63.161
1497.76,-63.148
1497.8,-63.141
1497.84,-63.131
1497.88,-63.122
1497.92,-63.113
1497.96,-63.108
1498,-63.098
1498.04,-63.093
1498.08,-63.088
1498.12,-63.072
1498.16,-63.06
1498.2,-63.048
1498.24,-63.039
1498.28,-63.033
1498.32,-63.019
1498.36,-63.016
1498.4,-63.004
1498.44,-62.997
1498.48,-63.001
1498.52,-62.993
1498.56,-62.977
1498.6,-62.973
1498.64,-62.958
1498.68,-62.957
1498.72,-62.95
1498.76,-62.935
1498.8,-62.93
1498.84,-62.919
1498.88,-62.914
1498.92,-62.903
1498.96,-62.894
1499,-62.895
1499.04,-62.89
1499.08,-62.882
1499.12,-62.878
1499.16,-62.869
1499.2,-62.861
1499.24,-62.855
1499.28,-62.847
1499.32,-62.846
1499.36,-62.835
1499.4,-62.823
1499.44,-62.821
1499.48,-62.816
1499.52,-62.81
1499.56,-62.807
1499.6,-62.799
1499.64,-62.796
1499.68,-62.784
1499.72,-62.783
1499.76,-62.78
1499.8,-62.769
1499.84,-62.766
1499.88,-62.757
1499.92,-62.75
1499.96,-62.75
1500,-62.742
1500.04,-62.737
1500.08,-62.731
1500.12,-62.722
